hardware_name,unit_cost,default_qty
SP-632-2,0.183,1
SP-832-1,0.28188,1
SP-832-2,0.244,1
SP-M3-0,0.2,1
SP-M3-1,0.2,1
SP-M3-2,0.48,1
SP-M4-0,0.39,1
SP-M4-2,0.48,1
SP-M5-1,0.32,1
SP-M8-1,1.93,1
SS-024-2,0.035,1
SS-032-2,0.034,1
SS-032-2,0.045,1
SS-032-3,0.036,1
SS-M5-1,0.03287,1
SS-M5-2,0.05,1
SS6310A-0-750-00,1.76666666666667,1
SS6310A-0-750-00,0.011,1
SSA-156-12,0.192,1
SSA-632-10,0.157,1
SSB4-3S,0.203,1
SSC-156-16,0.31615,1
SSC-156-8,0.3028,1
SSSO4040205,0.19885,1
T65S832S,0.69,1
TPS-187-6,0.05106,1
TPS-187-6,0.05106,1
TPS-5-10,0.076,1
TSOS-256-312,0.13906,1
TSOS-6440-125,0.166,1
U-256-0,0.285,1
U-256-1,0.28,1
UL-256-1,0.27472,1
WNS-0420-0,0.21,1
WNS-M4-0,0.25,1
WNS-M6-0,0.25,1
YC3-7286,0.22649,1
cls-333-2,0.25,1
